iteration,new_best_so_far,ended_early_iteration
1,16822428.093,0
1,209977.143,0
2,1047.1757,0
3,978.0352,0
4,911.9489,0
5,857.4547000000001,0
6,813.5889000000001,0
7,774.8460999999998,0
8,740.4980999999999,0
9,712.8422999999998,0
10,680.4833,0
11,651.3915999999999,0
12,630.3682999999997,0
13,609.6426999999996,0
14,593.2622999999998,0
15,577.8450999999998,0
16,563.2298999999997,0
17,552.8388999999999,0
18,542.5475999999998,0
19,535.1521999999999,0
20,528.7520999999999,0
21,521.4790999999999,0
22,515.8864,0
23,510.71629999999993,0
24,502.8877999999999,0
25,494.32599999999985,0
26,489.85409999999985,0
27,485.8415999999999,0
28,482.95859999999993,0
29,480.1676999999999,0
30,477.3227999999999,0
31,474.5972999999999,0
32,471.02919999999995,0
33,468.34180000000003,0
34,465.7895000000001,0
35,462.2434000000001,0
36,459.9234000000001,0
37,457.6369,0
38,455.473,0
39,453.96459999999996,0
40,451.42800000000005,0
41,449.90349999999995,0
42,447.33250000000004,0
43,445.16980000000007,0
44,443.5611,0
45,442.0959,0
46,440.94989999999996,0
47,439.83029999999997,0
48,438.8474999999999,0
49,437.8665999999999,0
50,437.1551999999999,0
51,436.48759999999993,0
52,435.15059999999994,0
53,433.91249999999997,0
54,433.23229999999995,0
55,432.7584999999999,0
56,432.3223999999999,0
57,431.8911999999999,0
58,431.47919999999993,0
59,431.0683999999999,0
60,430.40699999999987,0
61,430.03219999999993,0
62,429.2674999999999,0
63,427.30039999999997,0
64,423.6535999999999,0
65,421.21629999999993,0
66,417.2185999999999,0
67,415.2254,0
68,405.68219999999997,0
69,402.8758,0
70,401.0358,0
71,399.2618,0
72,398.4727,0
73,398.1042,0
74,397.9013,0
75,397.7343,0
76,397.58169999999996,0
77,397.46219999999994,0
78,397.4183,0
79,396.81929999999994,0
80,396.72659999999996,0
81,396.64879999999994,0
